25,214,21,16,5,28,14,6,9961,677,4.78733217716217,1.81909980816007,0.26397463530302,200,-9.7751027350956,200,-9.77834692475062,200,-9.76817724254762
48,200,23,18,15,42,4,15,4107,6225,5.2895695567131,3.36204760544733,0.407045966386795,200,-9.64181945922525,200,-9.34663174850685,200,-9.03057070951234
236,103,21,19,8,35,5,19,7062,2877,1.30217250809073,1.87330014954558,0.207525456696749,200,-8.7573802182163,200,-8.09449806221148,200,-7.26488075099369
151,203,29,9,5,34,5,14,2396,6548,1.48363775014877,3.25545559434029,0.764345353841782,200,-6.48782374774019,200,-6.42719879320452,200,-6.35482365354385
212,113,6,16,9,49,11,1,7591,4075,2.67623281478882,1.86892411614584,0.702795854210854,200,-6.34716294868663,200,-6.57257824908313,200,-6.73815636539878
217,120,46,8,18,34,13,18,8937,1901,2.35259732604027,5.49428496156836,0.517197450995445,200,-7.34474827726967,200,-6.96411792200073,200,-6.5405327493139
53,102,42,19,5,18,5,5,5135,1742,2.41741007566452,4.74615959177287,0.682605972886085,200,-3.04062607866641,200,-3.25433670392351,200,-3.44150036852469
173,230,26,8,9,28,12,10,6979,5495,4.16696047782898,3.05860147122977,0.646328738331795,200,-7.07093748919781,200,-6.68485451370532,200,-6.25700350634958
247,214,31,6,3,29,18,17,2463,7714,2.34141579270363,5.50240025373742,0.573609089851379,200,-7.41715935759904,200,-7.3457076827747,200,-7.28929306027695
87,134,22,13,14,42,18,15,9644,6085,2.99974671006203,5.83793156143607,0.225259898602962,200,-12.7556899825307,200,-12.488056708552,200,-12.2036118619388
65,187,24,6,19,42,16,5,2000,7680,2.25955387949944,3.27997570947248,0.158150632306933,200,-9.79955080091646,200,-9.64621360313527,200,-9.50684882841588
134,261,48,6,14,2,11,18,7456,5095,1.38654763251543,2.58178283931078,0.500082543492317,200,-7.71223357117626,200,-7.23869573120967,200,-6.74873860447338
243,115,31,13,14,1,17,13,6896,2596,1.43250378221273,2.70305173405189,0.291417187452316,200,-8.29091936659528,200,-7.60939772450219,200,-6.70812470983992
14,175,32,14,18,25,11,13,4955,960,3.20600768923759,2.09166597280654,0.230182523280382,200,-4.80211364670836,200,-5.32033808545878,200,-5.64674309672198
258,81,48,16,18,40,19,13,6432,3051,2.3686004281044,4.39272635981683,0.239296725392342,200,-10.7000575525071,200,-10.3706584046377,200,-10.0133725215377
